ID,Date,Day of week,Time of day,Platform,Video or Image?,Views (in thousands),Likes,Comments,Shares,Saves/Bookmarks,Keywords,Hashtags,Mentions,Food Tok,Dorm Tok,Beauty,Original Aud,Male Viewers,Female Viewers,Video Duration (s),Avg View Time (s),New Followers,Aged 18-24 %,25-34 %,35-44 % ,45-54 %,55+ %,New Viewers %,Non Followers %
1,1/3/2024,Wednesday,12:46,TikTok,Image,19.2,1500,23,31,90,"WashU, Home",#washu #college #collegecampus #collegelife,,no,no,y,n,0.31,0.68,,,68,0.7,0.18,0.05,0.05,0.02,0.46,0.81
2,1/23/2024,Tuesday,10:14,TikTok,Video,7.8,410,8,40,24,"Clubs, Tiny Mic",#washu #clubs #studentorganizations #tinymic #college #collegelife,,no,no,n,y,0.23,0.76,101,16.8,10,0.72,0.17,0.04,0.05,0.02,0.29,0.61
3,1/31/2024,Wednesday,13:21,TikTok,Video,6.2,397,1,2,9,"student, lecture",#wustl #washu #hahahaagain #students #professor #college #collegestudent,,no,no,n,n,0.22,0.77,10,5,7,0.71,0.17,0.05,0.05,0.02,0.35,0.65
4,2/2/2024,Friday,11:47,TikTok,Video,4.5,261,3,10,10,"main character, semester",#spring2024 #washu #wustl #maincharacter #fortheplot,,no,no,y,n,0.21,0.78,20,6.3,4,0.68,0.18,0.05,0.06,0.02,0.32,0.6
5,2/5/2024,Monday,11:24,TikTok,Image,3.9,151,1,12,5,academic weapon,#college #university #washu #trending #textback,,no,no,n,n,0.19,0.8,,,3,0.71,0.17,0.05,0.04,0.02,0.39,0.69
6,2/6/2024,Tuesday,10:50,TikTok,Video,16.1,1600,18,19,29,"fetch, mean girls",#washu #wustl #meangirls #meangirlsmovie #reginageorge #college #trending,,no,no,n,n,0.14,0.85,16,9.4,8,0.76,0.17,0.03,0.03,0.02,0.53,0.8
7,2/7/2024,Wednesday,13:19,TikTok,Video,65.4,15800,126,491,916,"Anime, satosugu",#campus #anime #college #collegelife #washu #satosugu,,no,no,n,n,0.1515,0.8485,15.5,9.2,58,0.8,0.16,0.02,0.01,0.02,0.8,0.95
8,2/8/2024,Thursday,14:17,TikTok,Video,"1,400.0",218500,137,838,5400,"tour, ambassador",#washu #college #collegestudent #collegetour,,no,no,n,n,0.16,0.83,5,8.4,531,0.77,0.17,0.03,0.02,0.02,0.9,1
9,2/9/2024,Friday,12:42,TikTok,Video,5.2,281,4,30,7,comfort dogs,#washu #wustl #comfortdogs #campusdogs #campuslife #dayinmylifeasadog,,no,no,n,y,0.23,0.76,57,9.8,4,0.67,0.19,0.05,0.06,0.02,0.29,0.57
10,2/13/2024,Tuesday,9:49,TikTok,Video,6.7,451,2,46,9,"copenhagen, abroad",#washu #studyabroad #copenhagen #denmark #college #collegestudent #collegelife,,no,no,n,y,0.24,0.75,76,13.7,2,0.67,0.19,0.05,0.06,0.02,0.25,0.6
